,text
0, ほんと？じゃあそれにしてみる！
1,次のプロテイン、みんな大好きSAVASにしてみようかなぁ
2,ARの可能性ひろがる
3, てんぷらをお腹いっぱい食べるという使命が課されたよ！！
4,いつレーシックするか考えてる
5,春〜初夏と秋だけ日本にいる生活したい。
6,暑さに弱すぎる
7,完全に参ってる
8,めっちゃ走る
9,先日、大塚に３年分のお土産と借り物をお渡しできたし、思い残すことがなくなった
10,人生はつらい
11,ビリヤニ食べたい
12,早く死にたい
13, oh.....
14, そうなのかー。IT業界は良いぞ。転職おめでとう！！
15, おおーほんと？？調べてみる！
16, 素敵なことだ！
17,3DGANで1000種類の鶴つくろ
18,やりたいことがふわっと浮かんだ時、それはまとまった費用が必要なタイプのことである場合がままある。ので、お金があったほうが良さそうだなぁ
19,申請から承認まで3ヶ月掛かるとか、クレジットカードじゃなくて一次金を払わせて後日支払いのためだけに行かないとダメとか、医療業界はなんだか時代に取り残されていて、チャンスがたくさん眠っていそうに思う
20,お金がなくなっちゃったオーラが出てたのか、帰り道に変な人に遭遇した。道聞かれたと思ったら、20分2万円でどう？って言われた。
21, おめでとう！！！！！本当におめでとう。あろたんもエンジニアに！
22, 3割負担で6万2000円だったんだけど、内訳が医療費2万9000円、ベット代が3万3000円だったの。ベット代は高額医療対象外で、高額医療は3万いくらかからだから、、、。スッて体温が引く感覚を味わった
23, うんうん。わかってるよー。あろたんにとってこれからの新生活の地がとても好きになれるものだといいなあ
24,完全に元気がなくなってる
25, 急性胃腸炎で入院したのw
26,割と意味がわからなすぎて震えてる
27,入院費が保険適用で6万円超えて泣きそうになってる。しかも、高額医療費適用外‥‥‥‥‥。
28, 引っ越しおめでとう！！今の土地は好きなれそうかな。理屈じゃない肌に合うってあるよねぇ
29,物心ついてからずっとずっと、早くこの街を離れたいと願ってきて、行動だってしてきたはずなのに、結局一度も離れることなく、そのまま離れられなくなってしまっている。
30,私は、生まれて間も無くからずっと育ってきた八王子という街のことが本当に大好きになってしまっていて、もうここから離れることができないんじゃないかと怖くなっている。
31,炭酸泉入って岩盤浴してホットヨガしておいしいご飯食べてこの世の全てに感謝が発生する精神状態になってる
32,なんでも受け身になるのも、やらない理由を探すのも、全部エネルギー量が不足しているから
33," え、ほんと！ありがとう！ww
そうだよねぇ。宴会芸にまで割けるほど、会社にエネルギー一点集中してる人はそりゃあ凄いし強いよねぇ。宴会芸するどころか日々生活する元気すらぎりぎりですわww"
34,エネルギー量だよなぁ。業務に加えて宴会芸すらも一生懸命できるエネルギーを持った人なら、それは仕事ができる人だよねぇ 
35, おかえり！おめでとう！！
36,ゆるきゃん見てたらほったらかし温泉出てきた！大塚と一緒に行ったなぁ
37,can you feel? 響かせ〜
38,ベルギー戦の賢者モードから抜け出せない‥‥
39,  2ヶ月前には‥‥www
40, ツイート今見たwwwなになになに召喚するぞ！
41, すげえ！かっこいい！！経過が楽しみ！
42, 一泊なら台湾かな？？それとも中国かな？？？
43,夏っぽいものしか食べてない 
44,とっても暑くて涼しかった 
45, ハンガリー→スロバキア→オーストリア→チェコ？？素敵すぎるルート！ルーマニアは行かないの？
46,夏初日 
47,早くここにテント貼れるようになりたい 
48, ひえ！すごい！！尊敬するルートだ。どっちも行ってみたいーーいつまでいるの？
49,28歳までに、というのは、早すぎず遅すぎずもぎりぎりで、とてもわかるなぁと思う
50, かすみちゃん元気？？
51, ハンガリー‥‥！！めっちゃ羨ましいーーー。温泉入ったりしてゆっくり楽しんできてねーー
52,川島永嗣かっこいいなー
53,眠れないからシュタゲの映画見たら精神がやばくなった
54,とうとう30度超えてしまった・・・。
55,手足が長いなーー
56,キャンプ楽しかったなーゆるきゃんしたいなぁ
57,かぐやるなだよ〜
58, 釣りの才能ないけどできるようになりたいのでぜひとも！誘ってくださいお願いします‥！！再来月、8月かな、お願いしますーー
59, マス釣りにどうか誘ってください
60,ディズニープリンセス感ある
61, アルミなのか、カビないし洗いやすくてとても良さそう。しかも安い！
62, そこ自宅のベランダですか？その机安定感あって良いねー
63,コンカツ
64, すごい  きれい
65,MateBook X Pro って文字列、暫くMacBook Proって読んでた。ファーウェイ攻めるなあ
66,natuRALvintage以降好きな服が見つからない
67,好きな服を着たい
68,キッドお誕生日おめでとう
69,安室くん〜
70,勝ったあああああああああ
71,ニコ生主が立川市議会選挙に当確したニュース見てわらってる
72,胃腸炎でしんでる
73,保育園も全て保険がきくようになったらいいのにな。補助金とかではなく。保育士さんのお給料をもっと上げるために
74,看護師さんに尊敬の念を抱きまくってる
75,胃腸炎で入院したんだけど、点滴したらすごく楽になったからもっと早くに行っておけば良かったー
76,点滴すきだなぁ
77,胃腸炎かな‥‥。なにか変なもの食べたかな‥‥‥
78,気持ち悪い‥‥‥
79, ハワイで親父にはやりたい！！
80, 行きたいけど、飛行機の値段次第だなー。何日間いるの？
81,ピーターラビット観に行きたい
82,英国紳士が動物たちに身ぐるみ剥がされられる映画と近い文脈を感じてしまったが、そんなに近くないか‥‥‥
83,セブンイレブンのおにぎりは本当においしい
84,自由度高めかつ、全体的にかっこよくいい感じにしてくれるみたいなのが好き
85,自由度が高いほうが好きかも
86,wordpressのカスタマイズに違和感がすごい‥‥‥やり方間違ってる気がする‥‥。
87,つらい話だ‥‥‥‥
88, おー、その時期なら行けるな！まくろちゃんが構ってくれるなら
89, 何日？？同時期フランスいるかも‥w
90, ハワイ良いねー！ハワイが舞台の映画観て、ハワイ行きたくなった。楽しんできてねー
91,いそまくん、お変わりなく
92,山田駅で飲んでたら、五年ぶりにいそまくんに遭遇した 
93, 3D部のファーストペンギンだ。めっちゃすごい
94, 完璧にえらい
95,たしかに……
96,かわいい
97,悩みって漬け込んでると腐る
98,相談できないとすぐ死ぬのかも
99, いいなぁー
100,金曜と土曜が無限に繰り返されてほしい
101, 良いところいっぱいあるよ！染めたんを大切にしてくれるところに転職できますように
102,つらいことは全て海苔に包んでお醤油つけてたべる
103, すごいどうでも良いことなんだけど、右側に並んでる女の子の後ろ姿が自分かと思った
104,みんな殺したい
105,残業が当たり前の環境は、出口のないトンネルのようでとてもつらいんだってことも知ってる
106,普通に残業するほうが楽でつい残業でカバーしようとしてしまうんだけど、全然ダメ。なんにもだめ。
107,つらい‥‥‥‥
108,とてもつらい
109,とても大変
110,掃除をしない限り勝手に部屋は汚れていくのと同じように、残業しないためには残業をしない努力が必須で、それは本業務とは関係しないので、両立させるのが結構大変
111,優秀な人ほど得をするシステムなので正しい在り方だと思う。私は優秀じゃないのでつらい
112,今、年間休日約140日、残業する人はほぼいないところに居るので、こういうところでストレスや苦しさを感じずに働けるのは、ほんとうに優秀of優秀かつ自立している人間なんだってこと、よく知ってる
113,週休3日のカイシャ、どうやったら見つけられるんだろう？
114,西城秀樹はかっこいい人だな
